seed,name,n_sample,error,alpha_min,alpha_opt,alpha_max
1,cv,100,0.987600811708182,0.007004204031694413,0.8755255039618016,7.004204031694413
1,cv-refit,100,1.000522377093885,0.007004204031694413,0.8755255039618016,7.004204031694413
1,cv-single,100,0.99566595642038,0.007004204031694413,3.5021020158472065,7.004204031694413
1,cv-overfit,100,1.0052114949711957,1e-05,1e-05,7.004838211183996
1,oracle,100,0.9924969618137194,1e-05,3.502419105591998,7.004838211183996
1,theory-1,100,0.9920972145360242,-1.0,2.1832461654129753,-1.0
1,theory-2,100,0.9927431839501896,-1.0,4.366492330825951,-1.0
1,theory-3,100,0.9986187852980075,-1.0,6.549738496238926,-1.0
1,cv,200,1.0,0.007698128907294456,7.698128907294456,7.698128907294456
1,cv-refit,200,0.9999623356102749,0.007698128907294456,7.698128907294456,7.698128907294456
1,cv-single,200,1.0,0.007698128907294456,7.698128907294456,7.698128907294456
1,cv-overfit,200,0.9645980170065676,1e-05,1e-05,7.706756743843558
1,oracle,200,0.9496353562315033,1e-05,1.9266891859608894,7.706756743843558
1,theory-1,200,0.9562860538344321,-1.0,2.6441974568737048,-1.0
1,theory-2,200,0.9788887459667485,-1.0,5.2883949137474096,-1.0
1,theory-3,200,1.0,-1.0,7.932592370621114,-1.0
1,cv,300,1.0,0.008984998329700202,8.984998329700202,8.984998329700202
1,cv-refit,300,0.9999717146671964,0.008984998329700202,8.984998329700202,8.984998329700202
1,cv-single,300,1.0,0.008984998329700202,8.984998329700202,8.984998329700202
1,cv-overfit,300,0.9094332153867355,1e-05,1e-05,8.990517328874672
1,oracle,300,0.8914777384152283,1e-05,2.247629332218668,8.990517328874672
1,theory-1,300,0.8982997947542155,-1.0,3.0178708368268774,-1.0
1,theory-2,300,0.9626714747209665,-1.0,6.035741673653755,-1.0
1,theory-3,300,1.0,-1.0,9.053612510480633,-1.0
1,cv,400,0.8279254936904851,0.010282027925003935,1.285253490625492,10.282027925003936
1,cv-refit,400,0.8444113508188354,0.010282027925003935,1.285253490625492,10.282027925003936
1,cv-single,400,0.8770927256134302,0.010282027925003935,0.321313372656373,10.282027925003936
1,cv-overfit,400,0.8620897412517311,1e-05,1e-05,10.379649881451295
1,oracle,400,0.8371472711162667,1e-05,2.5949124703628237,10.379649881451295
1,theory-1,400,0.8441866898829774,-1.0,3.38366602571629,-1.0
1,theory-2,400,0.9321678110246896,-1.0,6.76733205143258,-1.0
1,theory-3,400,0.9981996295237775,-1.0,10.15099807714887,-1.0
1,cv,500,0.7621168955953159,0.011111363745550383,1.3889204681937979,11.111363745550383
1,cv-refit,500,0.7772902904640415,0.011111363745550383,1.3889204681937979,11.111363745550383
1,cv-single,500,0.8381852248878914,0.011111363745550383,0.011111363745550383,11.111363745550383
1,cv-overfit,500,0.7953632993689834,1e-05,1e-05,11.041468796687152
1,oracle,500,0.7696826422030113,1e-05,2.760367199171788,11.041468796687152
1,theory-1,500,0.7767508945336875,-1.0,3.639004098132398,-1.0
1,theory-2,500,0.8838774584216621,-1.0,7.278008196264796,-1.0
1,theory-3,500,0.9992294956874963,-1.0,10.917012294397194,-1.0
1,cv,600,0.7197824992284636,0.013780229941514866,3.4450574853787166,13.780229941514866
1,cv-refit,600,0.7131269261507618,0.013780229941514866,3.4450574853787166,13.780229941514866
1,cv-single,600,0.831632530635326,0.013780229941514866,6.890114970757433,13.780229941514866
1,cv-overfit,600,0.7248824146708625,1e-05,1e-05,13.84855841886895
1,oracle,600,0.707958829336135,1e-05,1.7310698023586188,13.84855841886895
1,theory-1,600,0.7187424315142644,-1.0,3.9473218936953898,-1.0
1,theory-2,600,0.8371322309346273,-1.0,7.8946437873907795,-1.0
1,theory-3,600,0.984113492762651,-1.0,11.841965681086169,-1.0
1,cv,700,0.6728874209779627,0.01551613054205316,3.87903263551329,15.51613054205316
1,cv-refit,700,0.6637883965050096,0.01551613054205316,3.87903263551329,15.51613054205316
1,cv-single,700,0.7197444409263706,0.01551613054205316,3.87903263551329,15.51613054205316
1,cv-overfit,700,0.6677364038626454,1e-05,1e-05,15.718392920033253
1,oracle,700,0.6503003873478446,1e-05,1.9647991150041566,15.718392920033253
1,theory-1,700,0.6677737641666245,-1.0,4.163732859424904,-1.0
1,theory-2,700,0.7843976214814277,-1.0,8.327465718849808,-1.0
1,theory-3,700,0.9512977949660185,-1.0,12.491198578274712,-1.0
1,cv,800,0.624727396142999,0.01805147038569573,4.512867596423932,18.05147038569573
1,cv-refit,800,0.6104511344336216,0.01805147038569573,4.512867596423932,18.05147038569573
1,cv-single,800,0.6500124617394347,0.01805147038569573,4.512867596423932,18.05147038569573
1,cv-overfit,800,0.6090654302964872,1e-05,1e-05,18.487292832518936
1,oracle,800,0.5913550327670408,1e-05,2.310911604064867,18.487292832518936
1,theory-1,800,0.6084437293796301,-1.0,4.397997818898505,-1.0
1,theory-2,800,0.7383829781065606,-1.0,8.79599563779701,-1.0
1,theory-3,800,0.9033954145331056,-1.0,13.193993456695514,-1.0
1,cv,900,0.6035776986825598,0.018967968352503615,4.741992088125904,18.967968352503615
1,cv-refit,900,0.590325678740261,0.018967968352503615,4.741992088125904,18.967968352503615
1,cv-single,900,0.6222290541721167,0.018967968352503615,4.741992088125904,18.967968352503615
